global_id,ObjectName,AdmArea,District,Address,Email,WebSite,HelpPhone,HasEquipmentRental,HasTechService,HasDressingRoom,HasEatery,HasToilet,HasWifi,HasCashMachine,HasFirstAidPost,HasMusic,Lighting,Seats,Paid,latitude,longitude,latitude_radians,longitude_radians
281867778,Парк «Сад культуры и отдыха имени Н.Э. Баумана»,Центральный административный округ,Басманный район,"Старая Басманная улица, дом 15А, строение 4",sadbaumana@culture.mos.ru,sadbaumana.ru,(499) 261-58-83,нет,да,да,да,да,да,нет,нет,да,смешанное освещение,30,бесплатно,37.6593336326595,55.7656052225437,0.6572793659969449,0.9732934205007326
406671453,Парк культуры и отдыха «Фили»,Западный административный округ,район Филёвский Парк,"Большая Филёвская улица, дом 22, строение 2",info@parkfili.com,parkfili.com,(499) 145-00-00,нет,нет,нет,да,да,да,нет,нет,да,без дополнительного освещения,0,бесплатно,37.4832754315316,55.7508235654398,0.6542065707121248,0.9730354319153689
407118512,"Парк, озелененная городская территория «Сквер по Ракетному бульвару»",Северо-Восточный административный округ,Алексеевский район,"Ракетный бульвар, дом 8",alespr@mos.ru,alekseevsky.mos.ru,(495) 620-28-20,нет,нет,нет,нет,да,нет,нет,нет,нет,смешанное освещение,0,бесплатно,37.6539700108567,55.8184407750139,0.6571857531366545,0.9742155748534479
407200818,Дворовая территория,Западный административный округ,Можайский район,"Дорогобужская улица, дом 11",uprava-mozh@mos.ru,mozhaisky.mos.ru,(495) 447-15-60,нет,нет,нет,нет,нет,нет,нет,нет,нет,освещение светодиодными лампами,0,бесплатно,37.4149851558817,55.714905319551,0.6530146805549395,0.9724085402630684
407262033,Дворовая территория,Юго-Западный административный округ,Ломоносовский район,"улица Вавилова, дом 78",Lomonos@uzao.mos.ru,gbu-lom.ru/,(499) 133-14-67,нет,нет,нет,нет,нет,нет,нет,нет,нет,без дополнительного освещения,0,бесплатно,37.5446396470267,55.6795294117985,0.6552775783154176,0.9717911141969054
407262115,Дворовая территория,Юго-Западный административный округ,Ломоносовский район,"улица Строителей, дом 17, корпус 2",uzao-lomonos@mos.ru,lomonosovsky.mos.ru/,(499) 133-14-67,нет,нет,нет,нет,нет,нет,нет,нет,нет,без дополнительного освещения,0,бесплатно,37.53080478363,55.6873598469794,0.6550361143975816,0.9719277810726762
407262197,Дворовая территория,Юго-Западный административный округ,Ломоносовский район,"Ленинский проспект, дом 91, корпус 4",Lomonos@uzao.mos.ru,lomonosovsky.mos.ru,(499) 133-14-67,нет,нет,нет,нет,нет,нет,нет,нет,нет,без дополнительного освещения,0,бесплатно,37.5295090694423,55.6754347768395,0.6550134999188413,0.9717196493352037
407262273,Дворовая территория,Юго-Западный административный округ,Ломоносовский район,"Ленинский проспект, дом 93, корпус 3",Lomonos@uzao.mos.ru,lomonosovsky.mos.ru/,(499) 133-14-67,нет,нет,нет,нет,нет,нет,нет,нет,нет,без дополнительного освещения,0,бесплатно,37.5299507736818,55.6742843757536,0.6550212091121406,0.9716995710485362
407262632,Дворовая территория,Юго-Западный административный округ,Ломоносовский район,"улица Академика Пилюгина, дом 26, корпус 1",Lomonos@uzao.mos.ru,lomonosovsky.mos.ru/,(499) 133-14-67,нет,нет,нет,нет,нет,нет,нет,нет,нет,без дополнительного освещения,0,бесплатно,37.5311405178192,55.6720140292396,0.6550419740645946,0.9716599460267057
407263299,Дворовая территория,Юго-Западный административный округ,Ломоносовский район,"улица Панфёрова, дом 16, корпус 2",uzao-lomonos@mos.ru,lomonosovsky.mos.ru,(499) 133-14-67,нет,нет,нет,нет,нет,нет,нет,нет,нет,без дополнительного освещения,0,бесплатно,37.544288845162,55.6803677073919,0.6552714556678565,0.9718057452151153
407263403,Дворовая территория,Восточный административный округ,район Восточный,"Главная улица, дом 19",gbujv@mail.ru,vostochniy.mos.ru,(499) 780-67-70,нет,нет,нет,нет,нет,нет,нет,нет,нет,без дополнительного освещения,0,бесплатно,37.8690495100444,55.8208039765787,0.6609395985510202,0.974256820501642
407263628,Дворовая территория,Восточный административный округ,район Восточный,"Главная улица, дом 22",gbujv@mail.ru,vostochniy.mos.ru,(499) 780-67-70,нет,нет,нет,нет,нет,нет,нет,нет,нет,смешанное освещение,0,бесплатно,37.8711020956815,55.8192956941347,0.6609754229285668,0.9742304960069442
407264183,Дворовая территория,Южный административный округ,район Москворечье-Сабурово,"Каширское шоссе, дом 51, корпус 5",gbu-msab@mail.ru,moskvoreche-saburovo.mos.ru/,(499) 323-32-53,нет,нет,да,нет,нет,нет,нет,нет,нет,освещение светодиодными лампами,0,бесплатно,37.6917517850126,55.6411103479901,0.6578451694929197,0.9711205750379152
407264465,"Парк, озелененная городская территория «Ивановский лесопарк»",Восточный административный округ,район Ивановское,"Свободный проспект, дом 11, корпус 5, строение 1",gbu-ivanovskoe@mail.ru,gbu-ivanovskoe.ru,(495) 307-84-91,нет,нет,нет,нет,нет,нет,нет,нет,нет,без дополнительного освещения,0,бесплатно,37.8239820272492,55.7620068064845,0.6601530225906581,0.9732306162926431
407265361,Дворовая территория,Южный административный округ,район Москворечье-Сабурово,"Кантемировская улица, дом 18, корпус 5",gbu-msab@mail.ru,uao.mos.ru,(495) 344-85-49,нет,нет,нет,нет,нет,нет,нет,нет,нет,без дополнительного освещения,0,бесплатно,37.6635579795294,55.6423208874548,0.6573530947585711,0.9711417029372995
407266421,Дворовая территория,Восточный административный округ,район Восточное Измайлово,"13-я Парковая улица, дом 19",v_izml@vao.mos.ru,v-izm.mos.ru,(499) 463-62-09,нет,нет,да,нет,нет,нет,нет,нет,нет,смешанное освещение,0,бесплатно,37.810930205394,55.8006424595062,0.6599252253259011,0.9739049356465298
407267728,Дворовая территория,Восточный административный округ,район Восточный,"улица 9 Мая, дом 28",gbujv@mail.ru,vostochniy.mos.ru,(499) 780-67-70,нет,нет,нет,нет,нет,нет,нет,нет,нет,без дополнительного освещения,0,бесплатно,37.8744464771767,55.8174159846343,0.6610337933971008,0.9741976888871812
407271275,Дворовая территория,Восточный административный округ,район Новокосино,"Суздальская улица, дом 24, корпус 1",upravanovokosino@mos.ru,novokosino.mos.ru,(495) 701-44-65,нет,нет,нет,нет,нет,нет,нет,нет,нет,без дополнительного освещения,0,бесплатно,37.8582710519278,55.7426226909374,0.6607514789685973,0.9728922996537592
